"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2014-15",20150418,"CHI",103,26,51,12,32,15,22,10,42,30,8,19,7,21,"MIL",91,31,73,4,16,17,26,13,28,22,11,13,3,23
"2014-15",20150418,"GSW",106,26,52,11,29,21,34,10,37,24,11,15,6,21,"NOP",99,26,61,9,22,20,25,10,34,24,8,14,5,28
"2014-15",20150418,"HOU",118,28,60,10,25,32,45,8,36,26,11,13,9,22,"DAL",108,38,82,6,17,14,17,14,35,19,5,17,4,28
"2014-15",20150418,"TOR",86,29,63,6,29,10,14,10,38,21,5,12,4,21,"WAS",93,33,78,6,21,9,15,19,42,22,6,10,3,18
"2014-15",20150419,"ATL",99,24,49,10,30,21,22,6,33,19,11,14,3,21,"BKN",92,31,59,5,20,15,22,12,35,18,8,17,0,19
"2014-15",20150419,"CLE",113,24,51,13,31,26,33,15,31,19,6,12,5,23,"BOS",100,29,57,8,22,18,22,7,27,24,7,14,4,29
"2014-15",20150419,"LAC",107,30,60,10,18,17,28,6,40,16,9,13,8,21,"SAS",92,24,60,10,33,14,26,17,32,25,9,14,3,23
"2014-15",20150419,"MEM",100,36,79,3,9,19,26,8,40,21,8,8,9,18,"POR",86,24,69,8,26,14,19,16,40,18,5,13,7,23
"2014-15",20150420,"CHI",91,19,48,12,33,17,27,14,50,26,2,13,10,19,"MIL",82,28,73,4,17,14,17,9,39,13,10,4,9,22
"2014-15",20150420,"GSW",97,29,56,9,30,12,19,14,35,27,8,13,6,18,"NOP",87,24,61,7,20,18,24,10,31,21,10,13,4,20
"2014-15",20150421,"CLE",99,27,47,7,29,24,26,12,35,18,7,18,10,22,"BOS",91,27,63,6,22,19,22,13,26,19,6,11,3,22
"2014-15",20150421,"HOU",111,33,68,6,20,27,35,13,36,25,5,11,5,23,"DAL",99,27,67,6,22,27,28,14,32,14,4,8,6,23
